ui_music_volume|Гучнасць музыкі:
ui_are_you_sure_you_want_to_import_the_character|Вы сапраўды хочаце імпартаваць персанажа?
ui_unable_to_find_character_import_file|Немагчыма знайсці файл імпарту персанажа.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|У вас ўстаноўлена пробная версія гульні Mount & Blade. Для таго каб імпартаваць персанажа, вам трэба купіць поўную версію.
ui_change_skin|Асоба
ui_change_hair|Валасы
ui_change_hair_color|Колер валасоў
ui_change_beard|Барада
ui_tutorial|Навучанне
ui_tutorial_face_generator|Наладзьце знешнасць свайго персанажа пры дапамозе кнопак і бегункоў. Каб павярнуць галаву, пстрыкніце па ёй і перасуньце мыш.
ui_restore|Загрузка
ui_cancel|Адмена
ui_delete|Выдаленне
ui_confirm_delete_game|Вы сапраўды хочаце выдаліць гэтую гульню?
ui_error_removing_file|Памылка пры выдаленні файла...
ui_day_datedisplay|Дзень %d (%d:%d%d)
ui_reset_changes|Скід
ui_weapon_proficiencies|Уменне
ui_skills|Навык
ui_attributes|Характарыстыкі
ui_enter_name_here|* Увядзіце імя героя*
ui_edit_face|Націсніце, каб змяніць твар
ui_statistics|Статыстыка
ui_next|Далей
ui_prev|Назад
ui_learn|Вучыць
ui_question_saving_policy|Як будзе праходзіць захаванне ў гульні?
ui_saving_policy_realistic|Захаванне толькі пры выхадзе!
ui_saving_policy_nonrealistic|Захаванне ў адвольны момант.
ui_tutorial_character_generation|Цяпер увядзіце сваё імя і размяркуеце акуляры характарыстык, навыкаў і зброі. Каб даведацца, як той ці іншы параметр паўплывае на вашага персанажа, проста навядзіце курсор на любую назву на экране.
ui_str|СІЛ
ui_agi|ЛОЎ
ui_int|ІНТ
ui_cha|ХАР
ui_at_learning_limit|(Дасягнута мяжа)
ui_not_enough_skill_points_to_learn|(Недастаткова ачкоў для вывучэння)
ui_strength|сілы
ui_agility|лоўкасці
ui_intelligence|інтэлекту
ui_charisma|харызмы
ui_not_enough_attributetype_to_learn_this_skill|(Недастаткова %s для вывучэння гэтага ўмення)
ui_explanation_one_handed_weapon|Дазваляе больш эфектыўна выкарыстоўваць одноручные мячы, сякеры і дробящее зброю.
ui_explanation_two_handed_weapon|Дазваляе больш эфектыўна выкарыстоўваць двухручныя мячы, вялікія сякеры і булачкі.
ui_explanation_polearm|Дазваляе больш эфектыўна выкарыстоўваць древковое зброю, а менавіта дзіды, пікі, кіі і пр.
ui_explanation_archery|Дазваляе больш эфектыўна выкарыстоўваць лукі.
ui_explanation_crossbow|Дазваляе больш эфектыўна выкарыстоўваць агнястрэльную зброю.
ui_explanation_throwing|Дазваляе больш эфектыўна выкарыстоўваць гранаты.
ui_explanation_firearms|Дазваляе больш эфектыўна выкарыстоўваць стрэльбы і мушкеты.
ui_explanation_strength|Сіла: з кожным новым узроўнем сілы вы атрымліваеце 1 пункт здароўя. Наступныя навыкі не могуць быць вышэй 1/3 ад паказчыка сілы: жалезная скура, магутны ўдар, магутны кідок і магутны стрэл.
ui_explanation_agility|Спрыт: з кожным новым узроўнем спрыту вы атрымліваеце 5 ачкоў зброі, а хуткасць яго прымянення злёгку ўзрастае. Наступныя навыкі не могуць быць вышэй за 1/3 ад паказчыка спрыту: валоданне шчытом, Атлетыка, валоданне зброяй, верхавая язда, Верхавая стральба з лука і Збор трафеяў.
ui_explanation_intelligence|Інтэлект: з кожным новым узроўнем інтэлекту вы атрымліваеце адно ачко навыку. Наступныя навыкі не могуць быць вышэй 1/3 ад паказчыка інтэлекту: навучанне, сачэнне, тактыка, пракладанне курсу, зоркасць, лагістыка, перавязка ран, хірургія, першая дапамога, інжынерыя, перакананне.
ui_explanation_charisma|Харызма: з кожным новым узроўнем харызмы ў вас з'яўляецца яшчэ адно месца ў атрадзе. Наступныя навыкі не могуць быць вышэй 1/3 ад паказчыка харызмы: лідэрства, змест палонных, гандаль.
ui_level|Узровень: %d
ui_xp|Вопыт: %d
ui_next_level_at|Наступны ўзровень: %d
ui_health_player|Здароўе: %d/%d
ui_health|Здароўе: %d
ui_attribute_points|Ачкі характарыстык: %d
ui_skill_points|Ачкі навыкаў: %d
ui_weapon_points|Ачкі зброі: %d
ui_mission_losses_none| не.
ui_mission_losses_wounded|параненыя:
ui_mission_losses_killed|забітыя:
ui_party_losses|%s: %d паранена - забіта %d з %d.
ui_casualties_sustained|Страты:
ui_advantage_change|Змена перавагі: %c%d 
ui_overall_battle_casualties|Усяго ў баі страчана:
ui_advantage_outnumbered|Варожых сіл нашмат больш.
ui_advantage_major_disadvantage|У ворага велізарная перавага.
ui_advantage_slight_disadvantage|У ворага невялікая перавага.
ui_advantage_balanced|Сілы роўныя.
ui_advantage_fair_advantage|У вас перавага ў баі.
ui_advantage_greatly_favored|У вас усе шанцы выйграць бой.
ui_tactical_advantage|Тактычнае перавага: %d (%s)
ui_order_group|Загадаць атраду:
ui_question_save_changes|Вы зрабілі некаторыя змены. Хочаце захаваць іх?
ui_yes_save|Так, захаваць.
ui_no_discard_changes|Не, не захоўваць.
ui_everyone_control|Усё!
ui_everyone_around_control|Бліжэйшыя салдаты!
ui_others_control|Астатнія!
ui_question_give_up_fight|Хочаце здацца?
ui_give_up|Здацца
ui_keep_fighting|Працягваць бой
ui_question_leave_area|Пакінуць мясцовасць
ui_cant_retreat_there_are_enemies_nearby|Адступаць нельга. Побач ворагі!
ui_question_retreat_battle|Сысці з поля бою?
ui_retreated_battle|Pi[%s] R-[пацярпеў;;а;аб; і] паразу.
ui_retreat|Адступіць
ui_talk|Пагаварыць
ui_duel|Дуэль
ui_mount|Сесці верхам
ui_riding_skill_not_adequate_to_mount|(Вы пакуль не можаце ездзіць на гэтай коні)
ui_dismount|Спешыцца
ui_exit|Выйсці
ui_door_to|Дзверы ў
ui_open|Адкрыць
ui_equip|Выкарыстоўваць
ui_baggage|Багаж
ui_access_inventory|Адкрыць
ui_chest|Куфар
ui_passage|Праход
ui_go|Ісьці
ui_retreat_battle|Спыніць бой
ui_leave_area|Пакінуць мясцовасць
ui_reports|Справаздача
ui_camp|Лагер
ui_terrain|Тэрыторыя
ui_quests|Заданне
ui_inventory|Маёмасць
ui_character|Персанаж
ui_party|Атрад
ui_paused|Паўза
ui_click_left_button_to_cancel_wait|Чаканне... (для вяртання пстрыкніце левай кнопкай мышы)
ui_midnight|Поўнач
ui_late_night|Глыбокая ноч
ui_dawn|Світанне
ui_early_morning|Ранняе раніца
ui_morning|Раніца
ui_noon|Паўдня
ui_afternoon|Дзень
ui_late_afternoon|Заход
ui_dusk|Змярканне
ui_evening|Вечар
ui_level_limit_reached|Дасягнуты мяжа ўзроўню!
ui_explanation_level_limit|У пробнай версіі гульні Mount & Blade нельга дасягнуць узроўню больш 8. Мы спадзяемся, што вам спадабалася гульня і што вы маюць намер купіць ліцэнзію. Набыць ліцэнзію праз Інтэрнэт і актываваць поўную версію гульні вельмі проста, гэта зойме ўсяго хвіліну. Пасля гэтага вы зможаце працягнуць гульню з таго месца, на якім скончылі. А зараз Mount&Blade захавае ўсе вашы дасягненні і зачыніцца.
ui_time_limit_reached|Час выйшаў!
ui_explanation_time_limit|У пробную версію гульні Mount & Blade можна гуляць толькі 30 гульнявых дзён. Мы спадзяемся, што вам спадабалася гульня і што вы маюць намер купіць ліцэнзію. Набыць ліцэнзію праз Інтэрнэт і актываваць поўную версію гульні вельмі проста, гэта зойме ўсяго хвіліну. Пасля гэтага вы зможаце працягнуць гульню з таго месца, на якім скончылі. А зараз Mount&Blade захавае ўсе вашы дасягненні і зачыніцца.
ui_target_lost|Мэта страчана
ui_waiting|У чаканні 
ui_travelling_to|У дарозе. Пункт прызначэння: 
ui_following|У пагоні. Мэта: 
ui_accompanying|У эскорце. Пад эскортам: 
ui_running_from|Ва ўцёках. Праследавацель: 
ui_patrolling|У патрулі 
ui_patrolling_around|У патрулі ля паселішча 
ui_holding|На прывале 
ui_travelling|У падарожжы 
ui_fighting_against|У баі. Праціўнік: 
ui_speed_equals|Хуткасць = %2.1f
ui_defenders|Гарнізон:
ui_prisoners|Палонныя:
ui_1_hour|1 гадзіна
ui_n_hours|%d ч.
ui_between_hours|%d - %d ч.
ui_combatants|Змагаюцца: %d
ui_party_size|Памер атрада: %d
ui_party_size_between|Памер атрада: %d - %d
ui_merchant|Гандляр
ui_return|Гатова
ui_no_cost|Аплата не патрабуецца
ui_rename|Пераназваць
ui_use|Выкарыстаць
ui_destroy|Разбурыць
ui_destructible_target|Разбураемая цэль
ui_tutorial_inventory|Гэта экран гандлю. Для таго каб хутка прадаць што-небудзь, зацісніце клавішу Ctrl і пстрыкніце па патрэбным прадмеце.
ui_head_armor|Абарона галавы: %d
ui_body_armor|Абарона цела: %d
ui_leg_armor|Абарона ног: %d
ui_encumbrance|Вага: %2.1f
ui_you_dont_have_value|Неабходна: %s.
ui_merchant_cant_afford_value|%s: я не магу дазволіць сабе выдаткаваць %s. у мяне ёсць толькі %s.
ui_merchant_pay_whatever|Добра, заплаці, колькі ёсць.
ui_merchant_think_of_something_else|Хм-м. тады не трэба.
ui_dumping_value_items|%d прадметаў будзе страчана. Працягнуць?
ui_dumping_value_item|Адзін прадмет знікне назаўжды. Працягнуць?
ui_question_slaughter_food_and_eat|Забіць %s на мяса?
ui_money_value|Грошы: %s
ui_dump|Выкінуць
ui_outfit|Адзенне
ui_arms|Зброя
ui_horse|Конь
ui_food|Ежа
ui_reclaim_your_sold_goods|Выкупіце прададзеныя тавары, перш чым купляць гэта!
ui_return_your_bought_goods|Вярніце набытыя тавары, перш чым купляць гэта!
ui_polearm_no_shield|Дрэўкавае (двухручнае)
ui_polearm|Дрэўкавае
ui_two_handed|Двухручны
ui_two_handed_one_handed|Двухручны / Одноручные
ui_one_handed|Аднаручнае
ui_return_price|Кошт вяртання: %d
ui_sell_price|Цана продажу: %d
ui_reclaim_price|Кошт вяртання: %d
ui_buying_price|Кошт пакупкі: %d
ui_default_item|Базавы прадмет
ui_buying_price_free|Кошт пакупкі: бясплатна
ui_weight|Вага: %2.1f
ui_plus_value_to_head_armor|+%d да абароны галавы
ui_plus_value_to_body_armor|+%d да абароны цела
ui_plus_value_to_leg_armor|+ %d да абароны ног
ui_swing|Секчы ўдар: %d%s
ui_damage|Пашкоджанне: %d%s
ui_thrust|Колючы ўдар: %d%s
ui_accuracy|Дакладнасць: %d
ui_speed_rating|Хуткасць: %d
ui_value_to_damage|%c%d да страт
ui_value_to_morale|+ %1.1f да баявога духу атрада
ui_resistance|Супраціў: %d
ui_size|Памер: %d
ui_weapon_reach|Зона дзеяння зброі: %d
ui_armor|Браня: %d
ui_speed|Хуткасць: %d
ui_maneuver|Манеўранасць: %d
ui_charge|Напад: %d
ui_hit_points|Здароўе: %d/%d
ui_requires_value_difficulty|Патрабуецца навык %s - %d ачкоў
ui_bonus_against_shields|Перавага супраць шчытоў
ui_cant_be_used_to_block|Нельга выкарыстоўваць для блакавання
ui_troop_cant_use_item|%s: я не магу гэта выкарыстоўваць!
ui_notification_riding_skill_not_enough|Ваш навык верхавой язды не дазваляе ездзіць на гэтай коні.
ui_notification_requirements_not_met|Вашы навыкі або характарыстыкі не дазваляюць вам карыстацца гэтай зброяй.
ui_notification_payment_value|Вам трэба заплаціць %s.
ui_notification_payment_receive_value|Вы атрымаеце %s.
ui_one_handed_weapons|Одноручные зброю
ui_two_handed_weapons|Двухручная зброя
ui_polearms|Дрэўкавая зброя
ui_archery|Лука
ui_crossbows|Агнястрэльная зброя
ui_throwing|Кідальная зброя
ui_firearms|Запальная зброя
ui_reset|Скінуць
ui_release_one|Выпусціць
ui_move_up|Уверх
ui_move_down| Уніз 
ui_upgrade_one|Павысіць
ui_party_skills|Уменні атрада
ui_morale|Баявы дух: %s
ui_terrible|Вельмі нізкі.
ui_very_low|Вельмі нізкі.
ui_low|Нізкі.
ui_below_average|Ніжэй сярэдняга
ui_average|Сярэдн.
ui_above_average|Вышэй за сярэдні
ui_high|Высокі.
ui_very_high|Вельмі высокі.
ui_excellent|Цудоўны
ui_starving|Памірае ад голаду! %d%%
ui_weekly_cost_value|Тыднёвая плата: %s
ui_company|Атрад: %d / %d
ui_prisoners_equal_value|Палонныя: %d / %d
ui_choose_prisoners|Выбраць палонных
ui_choose_companions|Выбраць спадарожнікаў
ui_rescued_prisoners|Выратаваныя палонныя
ui_captured_enemies|Захопленыя ворагі
ui_disband|Распусціць
ui_take_prisoner|Узяць палоннага
ui_take_back|Забраць назад
ui_give|Перавесці
ui_take|Узяць у атрад
ui_sell|Прадаць
ui_hire|Наняць
ui_notification_cant_hire|(Недастаткова грошай для найму)
ui_uncapture|Адпусціць
ui_capture|Захапіць
ui_party_capcity_reached|(Атрад укамплектаваны)
ui_all| усе
ui_joining_cost_weekly_wage|Кошт ўступлення: %d, тыднёвая плата: %d
ui_weekly_wage|Тыднёвая плата: %d
ui_price|Кошт: %d
ui_number_ready_to_upgrade|Можна павысіць %d воінаў
ui_upgrade_to_value| Павысіць да %s
ui_notification_no_slot_for_upgrade|Няма ячэйкі для павышэння да %s.
ui_shield_broken|Шчыт зламаны.
ui_shield_cracked|Шчыт трэснуў.
ui_shield_deformed|Шчыт дэфармаваны.
ui_you_hit_a_friendly_troop|Вы напалі на сяброўскі атрад!
ui_hit_shield_on_back|Удар па шчыце на спіне!
ui_delivered_couched_lance_damage|Нанесена пашкоджанне пікай!
ui_received_couched_lance_damage|Атрыманы урон ад удару пікай!
ui_speed_bonus_plus|Мадыфікатар хуткасці: +%d%%
ui_speed_bonus|Мадыфікатар хуткасці: %d%%
ui_cant_reload_this_weapon_on_horseback|Гэта зброя нельга перазараджваць, седзячы верхам.
ui_no_more_bolts|Кулі скончыліся.
ui_you_are_not_carrying_any_bolts|У вас з сабой няма куль.
ui_no_more_arrows|Стрэлы скончыліся.
ui_you_are_not_carrying_any_arrows|У вас з сабой няма стрэл.
ui_head_shot|Стрэл у галаву!
ui_delivered_number_damage|Нанесена %d страт.
ui_delivered_number_damage_to_horse|Нанесена %d страт каню.
ui_horse_charged_for_number_damage|Конь нанёс %d страт.
ui_received_number_damage|Атрымана %d страт.
ui_horse_received_number_damage|Конь атрымаў %d страт.
ui_value_killed_teammate|%s забівае свайго!
ui_horse_fell_dead|Конь загінуў...
ui_horse_crippled|Конь ахрамеў...
ui_shot_difficulty|Складанасць стрэлу: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|%s: ваша майстэрства павялічваецца да %d.
ui_your_proficiency_in_value_has_improved_by_number_to_number|%s: ваша майстэрства павялічваецца на + %d Да %d.
ui_value_killed_by_value|%s гіне, пасля таго як %s наносіць удар.
ui_value_fell_dead|%s памёр.
ui_value_knocked_unconscious_by_value|%s падае без прытомнасці, пасля таго як %s наносіць удар.
ui_value_fell_unconscious|%s падае без прытомнасці.
ui_troop_routed|%s захоплены ў палон.
ui_troop_panicked|%s ў паніцы.
ui_troop_fled|%s бяжыць з поля бою.
ui_you_got_number_experience|Вы атрымалі %d вопыту.
ui_you_have_advanced_to_level_number|Вы дасягаеце ўзроўню %d.
ui_value_has_advanced_to_level_number|%s дасягае ўзроўню %d.
ui_you_got_value|Вы атрымліваеце %s.
ui_new_quest_taken|Новае заданне: %s
ui_quest_completed_value|Заданне выканана: %s
ui_quest_succeeded_value|Заданне паспяхова выканана: %s
ui_quest_failed_value|Заданне не выканана: %s
ui_quest_concluded_value|Заданне скончана: %s
ui_quest_cancelled_value|Заданне адменена: %s
ui_lost_value| (Страчана: %s)
ui_items_lost| (Прадметаў страчана:
ui_party_has_nothing_to_eat|Атраду няма чаго есці!
ui_days_training_is_complete|Дзённае навучанне завершана...
ui_total_experience_gained_through_training_number|За час навучання атрымана %d вопыту.
ui_some_soldiers_are_ready_to_upgrade|Частка вашых салдат вартая павышэння.
ui_number_of_companions_exceeds_leadership_limit|Ваш навык лідэрства занадта малы для такога ліку спадарожнікаў.
ui_number_of_prisoners_exceeds_prisoner_management_limit|Ваш навык ўтрымання палонных занадта малы для такой колькасці зняволеных.
ui_party_morale_is_low|Баявы дух атрада нізкі!
ui_and_one_space| і
ui_has_deserted_the_party| пакідае атрад.
ui_have_deserted_the_party| пакідаюць атрад.
ui_weekly_report|Штотыднёвая справаздача
ui_shared_number_experience_within_party|Вы падзялілі %d вопыту з атрадам.
ui_got_item_value|Атрыманы прадмет: %s.
ui_game_saved_successfully|Гульня паспяхова захавана.
ui_autosaving|Аўтазахаванне...
ui_quick_saving|Хуткае захаванне...
ui_cant_quick_save|У баі хуткае захаванне недаступнае...
ui_screenshot_taken_to_value|Скрыншот захаваны ў %s.
ui_screenshot_failed|Нельга захаваць скрыншот.
ui_value_joined_your_party|%s далучаецца да вашага атрада.
ui_value_joined_party_as_prisoner|%s далучаецца да атрада ў якасці палоннага.
ui_value_has_joined_party|%s далучаецца да атрада.
ui_value_has_been_taken_prisoner|Захоплены палонны: %s.
ui_value_left_the_party|%s пакідае атрад.
ui_number_values_left_the_party|%d%s пакідаюць атрад.
ui_number_value_left_the_party|%d%s пакідае атрад.
ui_your_relations_with_value_has_improved_from_number_to_number|Вашы адносіны з %s палепшыліся з %d да %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Вашы адносіны з %s пагоршыліся з %d да %d.
ui_you_lost_value|Вы аддалі %s.
ui_lost_item_value|Страчаныя рэчы: %s.
ui_got_number_value|Атрымана: %d%s.
ui_lost_number_value|Страчана: %d%s.
ui_set_default_keys|Безумоўна
ui_undo_changes|Скід
ui_press_a_key|Націсніце клавішу
ui_return_to_game|Вярнуцца да гульні
ui_options|Налады
ui_save_and_exit|Захаванне і выхад
ui_save|Захаванне
ui_save_as|Захаваць як
ui_quit_without_saving|Выхад без захавання
ui_empty_slot|Пустая ячэйка
ui_game_saved|Гульня захавана...
ui_confirm_overwrite|Захаваная гульня %s будзе перапісана. Працягнуць?
ui_dynamic_lighting|Дынамічнае асвятленне
ui_character_shadows|Цені персанажаў
ui_grass_density|Шчыльнасць травы:
ui_environment_shadows|Цені навакольных аб'ектаў
ui_realistic_shadows_on_plants|Рэалістычныя цені на раслінах:
ui_particle_systems|Сістэма часціц
ui_gamma|Гама манітора:
ui_character_detail|Узровень дэталізацыі героя:
ui_character_shadow_detail|Узровень дэталізацыі цені героя:
ui_blood_stains|Адлюстраванне крыві:
ui_on|Укл.
ui_off|Выкл.
ui_near_player_only|Толькі каля гульца
ui_default|Безумоўна
ui_3d_grass|Трохмерная трава:
ui_number_of_ragdolls|Колькасць Ragdoll-мадэляў:
ui_number_of_corpses|Колькасць трупаў на экране:
ui_unlimited|Неабмежаваны
ui_anisotropic_filtering|Анізатропнае фільтраванне
ui_fast_water_reflection|Хуткія адлюстравання на вадзе
ui_maximum_framerate|Макс. частата кадраў:
ui_show_framerate|Адлюстраванне частоты кадраў
ui_estimated_performance|Прыкладная прадукцыйнасць: %d%%
ui_change_graphics_settings_explanation|Некаторыя вырабленыя вамі змены ўступяць у сілу толькі пасля пераходу ў новую мясцовасць.
ui_start_tutorial|Навучанне
ui_start_a_new_game|Новая гульня
ui_restore_a_saved_game|Загрузіць гульню
ui_exit_to_windows|Выхад у Windows
ui_credits|Аўтары
ui_version_value|Версія: %s
ui_active_quests|Бягучыя заданні
ui_finished_quests|Скончаныя заданні
ui_given_on_date|Выдадзена: %s
ui_days_since_given|Дзён з атрымання задання: %d
ui_quest_progression_number|Выкананне задання: %d%%
ui_too_many_quests|Занадта шмат заданняў
ui_ok|Далей
ui_move_forward|Наперад
ui_move_backward|Назад
ui_move_left|Налева
ui_move_right|Направа
ui_action|Дзеянне
ui_jump|Скачок
ui_attack|Атака
ui_parry_then_attack|Контратака
ui_defend|Абарона
ui_kick|Штурхель
ui_equip_weapon_1|Прадмет 1
ui_equip_weapon_2|Прадмет 2
ui_equip_weapon_3|Прадмет 3
ui_equip_weapon_4|Прадмет 4
ui_equip_next_weapon|Наступнае зброю
ui_equip_next_shield|Наступны шчыт
ui_sheath_weapon|Зброю ў ножны
ui_character_window|Акно персанажа
ui_inventory_window|Акно маёмасці
ui_party_window|Акно атрада
ui_quests_window|Акно заданняў
ui_game_log_window|Акно летапісу
ui_leave_location_retreat|Да мапы / адступленне
ui_zoom|Набліжэнне
ui_view_outfit|Агляд персанажа
ui_toggle_first_person_view|Выгляд ад першай асобы
ui_view_orders|Спіс загадаў
ui_quick_save|Хуткае захаванне
ui_no_key_assigned|Клавіша не прызначаная
ui_new_enemies_have_arrived|Прыбылі новыя ворагі.
ui_reinforcements_have_arrived|Падмацаванне прыбыло.
ui_report_casualties|Паведамленні пра страты
ui_report_experience|Паведамленні аб атрыманым вопыце
ui_current_level_value|Бягучы ўзровень: %d
ui_base_attribute_value|Базавая характарыстыка: %s
ui_battle_controls|Кіраванне бітвай
ui_map_controls|Кіраванне картай
ui_general_controls|Агульнае кіраванне
ui_zoom_in|Маштаб больш
ui_zoom_out|Маштаб менш
ui_wait|Стаянка
ui_take_screenshot|Скрыншот
ui_randomize|Выпадкова
ui_hint|Падказка
ui_press_left_mouse_button_to_continue|Каб працягнуць, пстрыкніце левай кнопкай мышы...
ui_loot|Здабыча
ui_cut_short|р
ui_pierce_short|к
ui_blunt_short|д
ui_battle|Бітва
ui_siege|Аблога
ui_troops|Атрад:
ui_loading_module_info_file|Загрузка інфармацыі аб модулі...
ui_processing_ini_file|Апрацоўка INI-файла...
ui_loading_music|Загрузка музыкі...
ui_loading_data|Загрузка дадзеных...
ui_loading_setting_data|Загрузка налад...
ui_loading_textures|Загрузка тэкстур...
ui_finished|Гатова
ui_creating_game|Стварэнне гульні...
ui_loading_savegame_file|Загрузка захаванай гульні...
ui_loading_map_file|Загрузка файла з картай...
ui_initializing_map|Ініцыялізацыя карты...
ui_launching_game|Запуск гульні...
ui_capital_battle|БІТВА
ui_capital_versus|-СУПРАЦЬ-
ui_tracks|След
ui_battleground|Поле бою
ui_order_1|Строй 1
ui_order_2|Строй 2
ui_order_3|Строй 3
ui_order_4|Строй 4
ui_order_5|Строй 5
ui_order_6|Строй 6
ui_order_button_hold_this_position|Трымаць пазіцыю
ui_order_button_follow_me|За мной
ui_order_button_charge|У атаку
ui_order_button_stand_ground|Не адступаць
ui_order_button_retreat|Адступіць
ui_order_button_advance|Наперад на 10 крокаў
ui_order_button_fall_back|Назад на 10 крокаў
ui_order_button_spread_out|Рассыпацца
ui_order_button_stand_closer|Стуліць шэрагі
ui_order_button_mount_horses|Па сёдлах
ui_order_button_dismount|Спешыцца
ui_order_button_hold_fire|Не страляць
ui_order_button_fire_at_will|Страляць без загаду
ui_order_button_use_blunt_weapons|Толькі драбільна зброю
ui_order_button_use_any_weapon|Любая зброя
ui_order_button_movement_orders|Загады на рух
ui_order_button_formation_orders|Загады аб пабудове
ui_order_button_fire_orders|Загады аб стральбе
ui_follow_me_e_|%s, за мной!
ui_charge_e_|%s, у атаку!!!
ui_stand_ground_e_|%s, не адступаць!
ui_retreat_e_|%s, адыходзім!
ui_mount_horses_e_|%s, сесці верхам!
ui_dismount_e_|%s, спешыцца!
ui_advance_e_|%s, наперад на 10 крокаў!
ui_fall_back_e_|%s, назад на 10 крокаў!
ui_stand_closer_e_|%s, ўстаць бліжэй!
ui_spread_out_e_|%s, врассыпную!
ui_use_blunt_weapons_e_|%s, выкарыстоўваць толькі дробящее зброю!
ui_use_any_weapon_e_|%s, выкарыстоўваць любую зброю!
ui_hold_fire_e_|%s, спыніць агонь!
ui_fire_at_will_e_|%s, агонь без загаду!
ui_hold_this_position_e_|%s, трымаць пазіцыю!
ui_infantry|Пяхота
ui_archers|Стрэлка
ui_cavalry|Кавалерыя
ui_companions|Спадарожнік
ui_everyone_hear_me|Слухайце мяне ўсё!
ui_everyone|Атрад
ui_everyone_around_me|Усе, хто побач
ui_str_hear_me|%s, слухай мяне!
ui_str_and_str|%s і %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|Для таго каб браць палонных, вам спачатку трэба навучыцца іх утрымліваць.
ui_game_log|Летапіс
ui_recent_messages|Паведамленне
ui_custom_battle|Хуткі бой
ui_player|Гулец
ui_value_denars|%d талераў
ui_back|Назад
ui_forward|Уперад
ui_display_on_map|Паказаць на карце
ui_info_pages|Сутнасць гульні
ui_troops2|Персанаж
ui_locations|Мясцовасьць
ui_click_button_to_view_note|Пстрыкніце па імені або назве, каб прачытаць нататку.
ui_this_page_contains_no_information|На гэтай старонцы няма інфармацыі
ui_other_pages_that_link_here|Глядзіце таксама: 
ui_report_is_value_days_old| (Звесткі атрыманы %d дня таму.)
ui_report_is_current| (Звесткі атрыманы сёння).
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - раненне)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Высокая якасць
ui_quick|Нізкая якасць
ui_none|Не
ui_change|Змяніць
ui_how_to_change|Як гэта змяніць?
ui_change_directx_explanation|"Вы можаце выбраць DirectX 7 або DirectX 9, націснуўшы кнопку ""Настройкі"" у меню запуску, якое адкрываецца пры першым запуску гульні."
ui_dropping_picking_up|Кінута: %s. паднята: %s.
ui_dropping|Выкінута: %s.
ui_picking_up|Паднята: %s.
ui_unable_to_take|Гэта немагчыма падняць.
ui_age|Узрост
