ui_texture_detail|Дэталізацыя тэкстур:
ui_manual_activation_text1|1) Набярыце гэты адрас у пошукавым радку вашага браўзэра:
ui_manual_activation_text2|2) Увядзіце ваш серыйны нумар на старонцы, якая адкрылася...
ui_manual_activation_text3|3) І параметры вашай сістэмы:
ui_manual_activation_text4|4) На старонцы вы ўбачыце код актывацыі. Увядзіце яго або проста скапіюйце і націсніце ОК.
ui_activation_code|Код актывацыі:
ui_force_vsync|Вертыкальная сінхранізацыя
ui_module_newer_than_application|Выбранный вами модуль требует более новой версии игры.
ui_module_older_than_application|Выбранный вами модуль требует более старой версии игры.
ui_m_low|Нізк.
ui_m_high|Высок.
ui_m_ultra_high|Вельмі высок.
ui_force_single_threading|Аднаструменны рэжым
ui_not_enough_memory|"У вас засталося %d MB свабоднай фізічнай і віртуальнай памяці. Для нармальнай працы "" Mount&Blade. Агнём і мячом. Вялікія бітвы "" патрабуецца як мінімум 700 MB свабоднай памяці. Калі ў вас адбываюцца частыя збоі пры гульні, паспрабуйце зачыніць некалькі фонавых праграм перад яе запускам, або павялічце запас віртуальнай памяці, перайшоўшы ў Панэль кіравання, а адтуль - у сістэмнае меню."
ui_install|Устаноўка гульні
DirectXText|Гульні патрабуецца пакет DirectX версіі 9.0c або вышэй, які адсутнічае на вашым кампутары. Калі ласка, запампуйце апошнюю версію DirectX на сайце кампаніі Microsoft і ўсталюйце яго.
NoMountAndBladeText|Гульня не была ўсталяваная на вашым камп’ютары. Калі ласка, запампуйце праграму ўстаноўкі з сайта www.taleworlds.com і запусціце яе.
ui_SavegamesText|Жадаеце пакінуць захаваныя гульні?
ui_trialmode_online|"Вы гуляеце ў пробную версію ""Mount & Blade. Агнём і мячом. Вялікія бітвы"". Вы можаце гуляць, пакуль ваш персанаж не дасягне 7 ўзроўню. Для таго каб працягнуць гульню, вам трэба будзе ўвесці серыйны нумар і зарэгістраваць гульню. Калі вы ўжо купілі гульню, калі ласка, увядзіце серыйны нумар. Купля ліцэнзіі праз Інтэрнэт і пераход на поўную версію гульні зойме ўсяго некалькі хвілін."
ui_launch_activate|Увядзіце ваш серыйны нумар
ui_trialmode2_online|"Пасля аплаты вы атрымаеце серыйны нумар.
Каб атрымаць поўную версію гульні, перайдзіце..."
ui_trialmode3_online|Калі вы не хочаце купляць гульню зараз, вы можаце...
ui_trialmode4_online|Працэс пакупкі цалкам бяспечны. Мы паважаем права нашых кліентаў на бяспеку, канфідэнцыяльнасць, стварэнне рэзервовых копій і змяненне канфігурацыі сістэмы. Калі вы хочаце даведацца больш падрабязна аб нашай палітыцы продажаў, зірніце сюды:
ui_ondemand_textures|Загрузка тэкстур па патрабаванні
ui_language|Мова:
ui_steam_not_running|Не ўдаецца карэктна запусціць сістэму Steam. Каб гуляць у гэтую гульню, неабходная сістэма Steam.
ui_switch_to_turkish_explanation|Жадаеце пераключыцца на турэцкую мову?
ui_switch_to_turkish_yes|Так
ui_switch_to_turkish_no|Не
ui_new_version_message|Новая версія гульні даступная. Жадаеце перайсці на старонку загрузкі?
ui_enable_version_check|Уключыць праверку абнаўленняў
ui_disable|Выкл.
ui_yes2|Так
ui_no2|Не
ui_new_version_message2|Новая версія гульні даступная. Калі ласка, запампуйце абнаўленне з сайта выдаўца.
ui_buy_from_tw|Купіць у TaleWorlds
ui_buy_from_other|Купіць у іншых анлайн-рэсурсах
