qstr_Next_Page|Наступная старонка
qstr_Cannot_leave_now.|Цяпер сысці нельга
qstr_You_must_stay_behind|Вы павінны стаяць на зямлі за лініяй! Ачко не залічана.
qstr_You_run_away_from_th|Вы ўцяклі з поля бою.
qstr_You_came_into_the_wo|Вы - {reg3?атожылак: атожылак} высакароднага, але збяднелага сямейства. Справы вашага бацькі канчаткова прыйшлі ў заняпад, і з усіх былых уладанняў у яго застаўся толькі дом, у якім вы і жылі. Нягледзячы на ўсе цяжкасці, сям'я здолела даць вам добрую адукацыю і з дзяцінства падрыхтаваць вас да высакароднай жыцця пры двары.
qstr_You_were_born_the_{r|Вы - {reg3?дачка: сын} вандроўных гандляроў, пастаянна пераязджаюць з месца на месца ў пошуках прыбытку. Нягледзячы на тое што вашы бацькі былі багацей большасці навакольных людзей і далі вам самае лепшае адукацыю, на якое былі здольныя, вы так і не змаглі завесці сабе сяброў у бясконцых падарожжах. Усё ваша жыццё ў асноўным складалася з гандлю.
qstr_As_a_child_your_fami|Калі вы былі дзіцем, ваша сям'я з цяжкасцю зводзіла канцы з канцамі, спрабуючы пражыць на жалаванне бацькі, які працуе стражнікам ў мясцовага кіраўніка. Жылося вам нялёгка, і на добрую адукацыю не было сродкаў. У асноўным вы вучыліся таму, як абараняцца на вуліцы, са зброяй або без яго.
qstr_{reg3?daughter:son}|{reg3?дачка: сын}
qstr_You_were_the_{reg3?d|Вы нарадзіліся ў сям'і, якая жыла каля лесу і, зводзячы канцы з канцамі, займалася ўсім запар: паляваннем, рубкай лесу, вырабам стрэл, а калі даводзілася зусім туга - браканьерствам. Узімку даводзілася зусім туга, таму што ад холаду паміралі жывёлы і людзі, аднак вы здолелі перажыць усе доўгія зімы, хоць вашым братам і сёстрам пашанцавала куды менш.
qstr_You_were_a_child_of_|Вы нарадзіліся ў стэпе, у племя качэўнікаў, якія жылі ў вялікіх лагерах на засушлівых пашах. Як і ўсе качэўнікі, ваша сям'я больш за ўсё на свеце шанавала коней, і вы навучыліся ездзіць верхам ці ледзь не раней, чым хадзіць.
qstr_As_the_{reg3?daughte|Нарадзіўшыся {reg3?дачкой: сынам} злодзея, вы не маглі атрымаць прыстойнага адукацыі. Вы праводзілі час на вуліцы і выпрошвалі міласціну, пакуль не навучыліся падрэзаць кашалькі, затым - выкрываць замкі, і так, увогуле-то, прайшло ўсё ваша дзяцінства. Вы выдатна навучыліся выжываць на небяспечных вуліцах і даведаліся мноства не самых прыемных гарадскіх сакрэтаў.
qstr_As_a_{reg3?girl:boy}|Калі вы ледзь падраслі, вас адправілі жыць да двара аднаго з мясцовых кіраўнікоў, дзе вы перш за ўсё навучыліся пакоры, выконваючы патрабаванні розных дам і спадароў. Аднак, гледзячы на іх інтрыгі, слухаючы іх плёткі і нават вершы пра вялікія подзвігі і гарачага кахання, вы паволі пачалі пазнаваць аб велізарным свеце вакол вас, у якім ні на імгненне не спыняецца барацьба. Таксама вы многае запазычылі з жорсткіх гульняў іншых дзяцей, якія збівалі адзін аднаго палкамі або драўлянымі мячамі.
qstr_As_a_{reg3?girl:boy}_|Калі вы ледзь падраслі, вас аддалі ў чалядніка вучыцца рамяству. Пасля многіх гадоў цяжкай працы і навучання, гаспадар павысіў вас да {reg3?працаўніцы: работніка} і наняў вас на службу, паклаўшы поўнае жалаванне да таго часу, пакуль вы самі не вырашылі б сысці.
qstr_As_a_{reg3?girl:boy}_g|Калі вы ледзь падраслі, вы сталі вучыцца рамяству ў багатага гандляра, прадаючы самыя розныя тавары ў краме або з вандроўным абозам. Хутка вы навучыліся купляць танней, прадаваць даражэй і прымушаць пакупнікоў думаць, што ім вельмі пашанцавала з купляй.
qstr_As_a_{reg3?girl:boy}_gr|Калі вы крыху падраслі, то адправіліся наўпрост на вуліцу, робячы ўсё, каб выжыць. Вы жабравалі, уступалі ў банды і жылі ў гэтым жорсткім свеце толькі сённяшнім днём, заўсёды застаючыся на крок наперадзе закона і тых, хто жадаў вам зла.
qstr_As_a_{reg3?girl:boy}_gro|Калі вы крыху падраслі, вы сталі скакаць па бязмежных стэпах на сваёй уласнай коні, вывучаючы травы і пустыню. Хоць часам вам не хапала ежы, вы здолелі стаць выдатным паляўнічым і следапытам. Вашы мышцы адужэлі, і з часам вы сталі сапраўдным качэўнікам.
qstr_{reg3?daughter:man}|{reg3?Дачка: Мужчына}
qstr_Though_the_distincti|Хоць вы і не адразу гэта заўважылі, але з часам вы сталі {reg3?дарослай жанчынай: дарослым мужчынам}, і ўвесь свет вакол вас змяніўся. Калі вас прысвяцілі ў прыдворныя рыцары, вы сталі вучыцца абыходзіцца са зброяй, наносіць і вытрымліваць моцныя ўдары. Вам распавялі пра абавязкі, якія вы несяце перад кіраўніком і пра абавязак перад тымі, хто аднойчы можа стаць вашымі падданымі. Але акрамя рыцарскіх ідэалаў вы даведаліся таксама пра рэчы менш прыемных-старыя воіны многае распавялі вам аб жорсткай палітыцы, улады, здрадзе і ўзурпацыі, а таксама людзях, якія дасягалі сваіх мэтаў як адвагай, так і падступствам.
qstr_{reg3?woman:man}|{reg3?жанчына: мужчына}
qstr_Though_the_distinctio|Хоць вы і не адразу гэта заўважылі, але з часам вы пасталелі, і ўвесь свет вакол вас змяніўся. Вы далучыліся да цеснага кола прыдворных дам, жонак і палюбоўніц арыстакратаў, а таксама юных дзяўчат, якім яшчэ толькі трэба было знайсці сабе мужа. Аднак нават тут квітнела палітыка-дамы змагаліся за ўплыў і ўвага ўсіх зайздросных жаніхоў пры двары. Хутка вы навучыліся звяртаць усе падзеі сабе на карысць і зразумелі, што пры належнай вытанчанасці зможаце з часам стаць вельмі ўплывовай фігурай у гэтым свеціку.
qstr_Though_the_distinction|Хоць вы і не адразу гэта заўважылі, але з часам вы пасталелі, і ўвесь свет вакол вас змяніўся. Вы зажылі сваім жыццём, не маючы нічога, акрамя інструмента за спіной і вашага ўласнага голасу. Спачатку вам жылося нялёгка, людзям часта не падабаліся вашы выступы, і вы не заўсёды маглі купіць сабе ежу. Аднак вы здолелі выжыць, дзякуючы свайму голасу, і з часам навучыліся збіраць цэлыя натоўпы ў кабаках і, што яшчэ больш карысна, выпытваць у людзей усю патрэбную вам інфармацыю.
qstr_Though_the_distinction_|Хоць вы і не адразу гэта заўважылі, але з часам вы сталі {reg3?дарослай жанчынай: дарослым мужчынам}, і ўвесь свет вакол вас змяніўся. Вы сталі студэнтам ва ўніверсітэце аднаго з вялікіх гарадоў, вывучалі тэалогію, філасофію і медыцыну. Але не ўсе ўрокі вы атрымлівалі ў сценах навучальнай установы. Часам вы з сябрамі адпраўляліся гуляць па вуліцах у пошуках віна, жанчын і добрай бойкі. Аднак гэта не перашкаджала вам ўпраўляць зламаныя сківіцы і ўгаворваць раз'юшаных гандляроў прыбраць дубіну і прыняць грашовую кампенсацыю за разгром крамы.
qstr_Though_the_distinction_f|Хоць вы і не адразу гэта заўважылі, але з часам вы пасталелі, і ўвесь свет вакол вас змяніўся. Дарога вабіла вас, і вы пачалі падарожнічаць ад адной вёскі да іншай, купляючы і прадаючы ўсё, што маглі. Спачатку вы былі не вельмі багатыя, але паступова навучыліся гандлявацца нават з самымі скупымі старымі. Хутка вы павінны былі назапасіць дастаткова, каб заснаваць уласную гандлёвую імперыю...
qstr_Though_the_distinction_fe|Хоць вы і не адразу гэта заўважылі, але з часам вы пасталелі, і ўвесь свет вакол вас змяніўся. Вы выбралі кавальскае рамяство і сталі ствараць з простага металу неверагодна прыгожыя і карысныя рэчы. З часам вы сталі сапраўдным майстрам, і за вашу выдатную працу сталі даваць добрыя грошы. Седзячы ўвечары ля каміна пасля сытнага вячэры, вы з гонарам разважалі пра сваю працу і расце рэпутацыі.
qstr_Though_the_distinction_fel|Хоць вы і не адразу гэта заўважылі, але з часам вы пасталелі, і ўвесь свет вакол вас змяніўся. Вас не прыцягвала Пагоня абывацеляў за грашыма, і вы вырашылі адправіцца ў лясы вашага мясцовага кіраўніка і зарабіць сабе на жыццё ў адзіночку, патаптаўшы законы. Вы палявалі на аленяў, дзікоў, гусей, а потым цішком прадавалі каштоўнае мяса. Вы секлі дрэвы прама пад носам у ляснічых, каб людзі маглі абагрэць свае дамы зімой - таксама, зразумела, за грошы.
qstr_Only_you_know_exactl|Толькі вы можаце дакладна сказаць, што прымусіла вас пакінуць сваё ранейшае жыццё і адправіцца на пошукі прыгод. Аднак лютасьць, бушаваць у вашым сэрцы, зрабіла растанне з мінулым вельмі лёгкім. Вы хочаце адпомсціць. Вы хочаце справядлівасці. Тое, што з вамі зрабілі, ужо нічым не выправіць, і заплаціць за гэта можна толькі крывёю...
qstr_Only_you_know_exactly|Толькі вы можаце дакладна сказаць, што прымусіла вас пакінуць сваё ранейшае жыццё і адправіцца на пошукі прыгод. Вы не маглі больш заставацца на ранейшым месцы і жыць з успамінамі пра тых, хто быў вам вар'яцка дарог. Магчыма, ваша новае жыццё дазволіць вам забыцца ці ўславіць Імёны, якія вы больш не ў сілах вымавіць...
qstr_Only_you_know_exactly_|Толькі вы можаце дакладна сказаць, што прымусіла вас пакінуць сваё ранейшае жыццё і адправіцца на пошукі прыгод. Але нават вы не можаце толкам сказаць, калі ваш дом раптам стаў турмой, усё навакольнае надакучыла, і ўсе вашы намеры занялі падарожжы. Што б вы ні сустракалі ў новым месцы або проста на дарозе, вы нідзе не маглі заставацца падоўгу. Вы проста ішлі наперад, ніколі не азіраючыся...
qstr_Only_you_know_exactly_w|Толькі вы можаце дакладна сказаць, што прымусіла вас пакінуць сваё ранейшае жыццё і адправіцца на пошукі прыгод. Аднак вы сапраўды ведаеце, што назад шляху ўжо няма, ды і вяртацца няма да чаго. Дома, якім бы ён у вас ні быў, ужо няма, і вам прыйдзецца прызнаць той факт, што вы засталіся зусім адны ва ўсім свеце. Цяпер вы альбо патануць або навучыцца плаваць...
